Country,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
Afghanistan,0.0562,0.0796,0.0511,0.0495,0.1006,0.0527,0.1188,0.0652,0.0463,0.0686,0.0431,0.0549,0.061,0.046,0.0629,0.0434
Albania,0.0775,0.1045,0.0686,0.0792,0.0665,0.0405,0.0667,0.0381,0.0748,0.1045,0.0604,0.0754,0.0449,0.0334,0.0418,0.0233
Algeria,0.0556,0.0857,0.0535,0.0739,0.044,0.0279,0.0327,0.0241,0.08,0.1556,0.0896,0.141,0.0337,0.0377,0.032,0.033
Andorra,0.1163,0.1767,0.0465,0.0372,0.0651,0.0372,0.0605,0.0187,0.0791,0.1674,0.0326,0.0512,0.0465,0.0419,0.0279,0.0186
Angola,0.0807,0.0798,0.0492,0.0448,0.1192,0.0547,0.0592,0.0368,0.0771,0.1112,0.0466,0.0564,0.0717,0.0403,0.0404,0.0322
Antigua and Barbuda,0.0632,0.1092,0.0279,0.047,0.094,0.0548,0.0421,0.0245,0.0848,0.1381,0.0328,0.0632,0.0853,0.0592,0.0431,0.0308
Argentina,0.0625,0.1338,0.0309,0.0544,0.0476,0.0366,0.0245,0.0174,0.0884,0.1875,0.0652,0.106,0.044,0.0416,0.0342,0.0255
Armenia,0.0792,0.1057,0.0689,0.0821,0.0629,0.0262,0.074,0.027,0.0735,0.1138,0.069,0.0839,0.0472,0.0268,0.0399,0.0197
Australia,0.0778,0.1483,0.0215,0.0391,0.1038,0.0587,0.0355,0.0212,0.0772,0.15,0.0273,0.0478,0.0826,0.0583,0.0304,0.0202
Austria,0.0664,0.1437,0.0347,0.0657,0.0553,0.0367,0.0384,0.0226,0.0809,0.1732,0.0525,0.0906,0.046,0.0378,0.0334,0.0221
Azerbaijan,0.0742,0.0856,0.0571,0.0663,0.0735,0.0471,0.0857,0.0308,0.0603,0.1062,0.0528,0.0804,0.0561,0.0372,0.0578,0.0285
Bahamas,0.0702,0.1077,0.0312,0.0483,0.0906,0.0341,0.0469,0.0238,0.0847,0.132,0.0416,0.0633,0.0843,0.0559,0.0535,0.0318
Bahrain,0.0826,0.1339,0.0419,0.051,0.0898,0.051,0.0513,0.03,0.076,0.1367,0.0394,0.0564,0.0597,0.047,0.03,0.0234
Bangladesh,0.0639,0.1041,0.0295,0.0449,0.0839,0.0585,0.0442,0.0314,0.0697,0.1498,0.0418,0.0771,0.06,0.069,0.0366,0.0358
Barbados,0.0669,0.0954,0.0277,0.0408,0.0836,0.0398,0.0382,0.0244,0.0911,0.1497,0.0498,0.0642,0.101,0.0517,0.0486,0.0272
Belarus,0.0519,0.0941,0.0452,0.0704,0.058,0.029,0.063,0.0346,0.0609,0.1135,0.0678,0.1052,0.0524,0.0412,0.0664,0.0468
Belgium,0.0664,0.16,0.0297,0.061,0.0691,0.0444,0.036,0.0237,0.0761,0.1708,0.0383,0.0771,0.0563,0.0414,0.0288,0.0209
Belize,0.0732,0.1184,0.0217,0.0472,0.0925,0.0583,0.037,0.0299,0.0831,0.1416,0.0446,0.0599,0.0786,0.0529,0.039,0.022
Bhutan,0.0653,0.139,0.026,0.0232,0.1369,0.0688,0.0597,0.0119,0.0646,0.1566,0.0189,0.0526,0.0758,0.0625,0.0238,0.014
Bosnia and Herzegovina,0.0686,0.1143,0.0583,0.0908,0.0483,0.031,0.0479,0.0294,0.0778,0.1375,0.0696,0.1079,0.0346,0.0286,0.0347,0.0209
Botswana,0.0745,0.1199,0.0342,0.0519,0.0838,0.0395,0.0431,0.0228,0.0808,0.1491,0.0401,0.0713,0.0688,0.0608,0.0338,0.0254
Brazil,0.0631,0.1336,0.0275,0.0502,0.0498,0.0323,0.0278,0.0186,0.0938,0.189,0.0645,0.0977,0.049,0.0383,0.0394,0.0253
Brunei,0.0558,0.122,0.0119,0.0243,0.09,0.0772,0.0245,0.0189,0.0835,0.1952,0.0202,0.0396,0.086,0.1041,0.0223,0.0246
Bulgaria,0.0632,0.1282,0.0536,0.09,0.046,0.0281,0.0495,0.03,0.0697,0.1512,0.0553,0.1013,0.0391,0.0321,0.0365,0.0263
Burkina Faso,0.1074,0.1744,0.0235,0.0436,0.0939,0.0906,0.0302,0.0369,0.0805,0.1007,0.0202,0.0537,0.0503,0.0503,0.0202,0.0302
Cambodia,0.0694,0.1273,0.0218,0.037,0.1139,0.0681,0.0465,0.0254,0.0733,0.1491,0.028,0.0427,0.0708,0.068,0.0321,0.0265
Cameroon,0.0817,0.0798,0.0414,0.0402,0.1498,0.0682,0.0737,0.0268,0.0719,0.1096,0.0353,0.0377,0.0803,0.0439,0.039,0.0207
Canada,0.0721,0.1344,0.0259,0.046,0.0826,0.0476,0.0356,0.0221,0.0843,0.1574,0.035,0.0592,0.0838,0.0553,0.0356,0.0229
Chile,0.0615,0.1321,0.0265,0.0503,0.0468,0.0309,0.0254,0.016,0.0935,0.1963,0.0672,0.1041,0.046,0.0396,0.0369,0.027
China,0.0569,0.0943,0.0303,0.0435,0.1016,0.0681,0.0541,0.032,0.056,0.1063,0.0374,0.0571,0.0952,0.0841,0.0474,0.0359
Colombia,0.0844,0.1379,0.0402,0.06,0.0844,0.0452,0.043,0.0249,0.069,0.1372,0.0527,0.0861,0.0437,0.0354,0.0333,0.0226
Congo,0.0803,0.0924,0.0643,0.0622,0.1205,0.0602,0.0824,0.0482,0.0683,0.0502,0.0362,0.0341,0.0763,0.0382,0.0542,0.0322
Costa Rica,0.0795,0.1549,0.0368,0.0636,0.0716,0.0447,0.0373,0.0236,0.0692,0.1383,0.0535,0.0798,0.0502,0.0375,0.0379,0.0216
Croatia,0.0713,0.128,0.0474,0.077,0.0558,0.0339,0.0478,0.0273,0.0795,0.1484,0.0605,0.0925,0.0411,0.0321,0.034,0.0235
Cuba,0.0686,0.1986,0.0252,0.0903,0.1047,0.0578,0.0289,0.0072,0.0434,0.1228,0.0216,0.0542,0.0614,0.0433,0.0434,0.0289
Cyprus,0.0844,0.1295,0.0471,0.0655,0.0797,0.0414,0.0494,0.0273,0.0758,0.1384,0.0438,0.0717,0.0512,0.0384,0.0353,0.0208
Czech Republic,0.0511,0.1183,0.0344,0.0699,0.0538,0.0379,0.042,0.0285,0.0806,0.164,0.061,0.1004,0.049,0.0393,0.0404,0.0294
Congo (Kinshasa),0.0803,0.0924,0.0643,0.0622,0.1205,0.0602,0.0824,0.0482,0.0683,0.0502,0.0362,0.0341,0.0763,0.0382,0.0542,0.0322
Denmark,0.067,0.1497,0.0277,0.0571,0.0719,0.0482,0.0374,0.0257,0.0834,0.1621,0.0388,0.0709,0.0578,0.047,0.031,0.0245
Djibouti,0.0524,0.1211,0.0491,0.0491,0.0916,0.0425,0.0491,0.0507,0.0769,0.0966,0.0491,0.0654,0.0573,0.0622,0.0508,0.036
Dominica,0.058,0.0936,0.0249,0.0447,0.0861,0.0373,0.0431,0.0281,0.0919,0.1474,0.0563,0.0902,0.0786,0.0563,0.0389,0.0249
Dominican Republic,0.0834,0.1469,0.0308,0.0495,0.0854,0.0541,0.0384,0.0255,0.0789,0.1409,0.0415,0.0652,0.0634,0.0438,0.0317,0.0208
Ecuador,0.0704,0.1465,0.0323,0.0642,0.0741,0.0577,0.0399,0.0281,0.0647,0.1387,0.05,0.0808,0.05,0.044,0.0339,0.0246
Egypt,0.0767,0.1176,0.0467,0.0586,0.071,0.0523,0.0524,0.0348,0.0665,0.122,0.0497,0.0719,0.0531,0.0518,0.041,0.0336
El Salvador,0.0678,0.1329,0.0341,0.059,0.0895,0.0524,0.0409,0.0242,0.0658,0.1462,0.0553,0.0848,0.0487,0.0403,0.0337,0.0245
Estonia,0.0597,0.1325,0.0307,0.0616,0.049,0.0342,0.036,0.0258,0.0839,0.1762,0.0459,0.0921,0.0566,0.0458,0.0393,0.0303
Ethiopia,0.0684,0.1,0.0374,0.055,0.1048,0.0667,0.0612,0.0263,0.0599,0.1152,0.0426,0.0677,0.0622,0.0637,0.0393,0.0295
Faroe Islands,0.0553,0.1169,0.0127,0.0357,0.0564,0.0564,0.0372,0.0207,0.0888,0.1973,0.0314,0.0856,0.0627,0.0899,0.0297,0.0234
Fiji,0.0894,0.1464,0.0246,0.0409,0.1205,0.0651,0.0396,0.0222,0.077,0.1348,0.028,0.0371,0.0667,0.0628,0.0232,0.0219
Finland,0.0488,0.1258,0.0235,0.0525,0.0554,0.0434,0.0338,0.0255,0.0817,0.1808,0.0491,0.091,0.0595,0.0541,0.0416,0.0335
France,0.0611,0.1293,0.0321,0.0577,0.0675,0.0507,0.045,0.035,0.067,0.1465,0.0418,0.0768,0.0587,0.0536,0.0403,0.037
Georgia,0.0577,0.0907,0.0649,0.0848,0.0535,0.031,0.0715,0.0376,0.0644,0.1094,0.0778,0.1066,0.0423,0.0275,0.0531,0.0271
Germany,0.0612,0.1266,0.0335,0.0595,0.0568,0.0371,0.04,0.0241,0.0851,0.1766,0.0533,0.0934,0.0495,0.0407,0.0362,0.0261
Ghana,0.062,0.0706,0.0322,0.0361,0.1527,0.0592,0.0829,0.0318,0.066,0.0768,0.0382,0.0399,0.109,0.0617,0.0543,0.0269
Greece,0.0772,0.1274,0.0539,0.0743,0.0581,0.0314,0.0471,0.0245,0.079,0.1404,0.0597,0.0874,0.0469,0.0331,0.0365,0.023
Grenada,0.0803,0.1139,0.0357,0.0487,0.0941,0.0391,0.0542,0.0234,0.0851,0.1078,0.0542,0.0721,0.0741,0.0556,0.0378,0.024
Guatemala,0.0753,0.1463,0.0389,0.0664,0.0815,0.0513,0.0476,0.0254,0.0688,0.1339,0.0439,0.0762,0.0541,0.0364,0.0335,0.0207
Guinea,0.0846,0.1191,0.0193,0.0301,0.1106,0.0755,0.0392,0.0301,0.0862,0.1197,0.0358,0.0415,0.0891,0.0704,0.0295,0.0193
Guyana,0.0691,0.1,0.0261,0.0449,0.0825,0.0489,0.0359,0.0316,0.0776,0.1432,0.0443,0.0757,0.0796,0.0571,0.0522,0.0313
Haiti,0.0724,0.1353,0.0453,0.0577,0.1048,0.0612,0.0506,0.0318,0.0748,0.1154,0.027,0.0341,0.0801,0.0489,0.0429,0.0176
Honduras,0.0797,0.1307,0.0392,0.0638,0.0831,0.0529,0.044,0.0309,0.0693,0.1417,0.0465,0.0736,0.0519,0.0417,0.0304,0.021
Hungary,0.0643,0.1215,0.0422,0.0677,0.0541,0.0316,0.0446,0.0249,0.0838,0.1569,0.0647,0.0978,0.0489,0.0332,0.0404,0.0233
Iceland,0.0706,0.1698,0.0256,0.0555,0.0655,0.0437,0.0245,0.0192,0.0787,0.191,0.0334,0.0697,0.0582,0.0486,0.0259,0.0202
India,0.0761,0.1355,0.033,0.0544,0.0953,0.068,0.0484,0.0313,0.0635,0.1344,0.0348,0.0647,0.0538,0.0543,0.0281,0.0243
Indonesia,0.0677,0.1227,0.0303,0.0435,0.1011,0.0837,0.0507,0.0337,0.0758,0.1249,0.0384,0.0499,0.0652,0.0575,0.0323,0.0226
Iraq,0.0722,0.0941,0.0523,0.0615,0.0642,0.0411,0.0594,0.0358,0.0716,0.1088,0.0712,0.1053,0.0454,0.042,0.0427,0.0324
Ireland,0.0746,0.1563,0.0251,0.048,0.0796,0.0512,0.0312,0.0186,0.0803,0.1716,0.0346,0.061,0.0691,0.0527,0.0274,0.0188
Israel,0.0717,0.1376,0.0334,0.0536,0.072,0.0471,0.0385,0.0218,0.0778,0.1507,0.0455,0.0742,0.0632,0.0501,0.0376,0.025
Italy,0.0697,0.1286,0.0394,0.0603,0.0475,0.0281,0.0334,0.0173,0.0967,0.1742,0.0694,0.1007,0.0451,0.032,0.0359,0.0218
Jamaica,0.0687,0.0854,0.0362,0.0465,0.0862,0.0449,0.0506,0.0299,0.0826,0.13,0.0489,0.0725,0.0822,0.0536,0.0495,0.0323
Japan,0.0559,0.1378,0.0257,0.0519,0.0675,0.0602,0.0339,0.0262,0.0679,0.1644,0.037,0.0719,0.0682,0.0674,0.0357,0.0287
Jordan,0.0771,0.126,0.0591,0.0763,0.0729,0.0493,0.0612,0.0369,0.0656,0.1092,0.0502,0.0776,0.042,0.039,0.0329,0.0244
Kazakhstan,0.0706,0.0976,0.0521,0.0706,0.075,0.0423,0.0811,0.0389,0.0643,0.0958,0.0542,0.0753,0.0549,0.0363,0.0591,0.0317
Kenya,0.0817,0.1102,0.0393,0.0548,0.1055,0.0551,0.0506,0.0279,0.084,0.1118,0.0427,0.0592,0.076,0.0472,0.0332,0.0206
Kuwait,0.0773,0.1274,0.0419,0.0586,0.0722,0.0521,0.049,0.0303,0.0771,0.1403,0.0454,0.0671,0.0529,0.048,0.0347,0.0259
Kyrgyzstan,0.0809,0.1046,0.0549,0.0549,0.092,0.0453,0.0549,0.0408,0.0475,0.1038,0.0594,0.092,0.0497,0.0386,0.0504,0.0304
Laos,0.073,0.1524,0.0262,0.0365,0.1024,0.0794,0.0413,0.0254,0.0643,0.1365,0.0262,0.0643,0.0659,0.0452,0.0428,0.0183
Latvia,0.0462,0.1141,0.0352,0.0779,0.0385,0.0338,0.0455,0.0323,0.0697,0.1601,0.0568,0.1124,0.0481,0.046,0.0438,0.0398
Lebanon,0.0909,0.1356,0.0641,0.0872,0.0786,0.0501,0.0681,0.0404,0.0665,0.1015,0.0451,0.0635,0.0379,0.0266,0.0263,0.0174
Lesotho,0.0589,0.0676,0.032,0.0516,0.1098,0.04,0.0655,0.0363,0.064,0.1018,0.0451,0.0443,0.115,0.0626,0.064,0.0415
Libya,0.0688,0.1015,0.043,0.0598,0.0704,0.0422,0.0467,0.0258,0.0848,0.1208,0.0705,0.0828,0.0614,0.0451,0.0422,0.0344
Lithuania,0.0477,0.1073,0.0359,0.0716,0.0356,0.028,0.0393,0.028,0.0673,0.1754,0.064,0.1274,0.0407,0.0472,0.0443,0.0404
Luxembourg,0.0754,0.1336,0.0334,0.0575,0.0757,0.0422,0.0472,0.0276,0.0765,0.1445,0.0476,0.0742,0.0607,0.0402,0.0352,0.0285
Madagascar,0.0635,0.1315,0.035,0.0607,0.0662,0.0442,0.0414,0.0249,0.0542,0.1546,0.0561,0.104,0.0616,0.0478,0.0349,0.0194
Malawi,0.0715,0.1223,0.0404,0.048,0.12,0.0578,0.0447,0.0291,0.0691,0.1237,0.0344,0.0494,0.0743,0.0517,0.0419,0.0216
Malaysia,0.0544,0.1181,0.0152,0.0282,0.1102,0.089,0.0351,0.0247,0.0713,0.1551,0.0214,0.0379,0.0952,0.0923,0.0286,0.0231
Maldives,0.0686,0.1219,0.0198,0.0459,0.0599,0.0472,0.0327,0.0179,0.0947,0.2081,0.0411,0.0722,0.056,0.0643,0.0257,0.0242
Mali,0.0775,0.0969,0.0271,0.0427,0.1124,0.0659,0.0698,0.0232,0.0504,0.1008,0.0427,0.0814,0.0969,0.0504,0.0388,0.0272
Malta,0.078,0.1327,0.0345,0.0563,0.0752,0.0427,0.0347,0.0205,0.088,0.1621,0.0429,0.0769,0.0648,0.0456,0.0256,0.0193
Mauritius,0.0818,0.1318,0.0408,0.0542,0.1017,0.048,0.051,0.0256,0.0738,0.1379,0.0406,0.0642,0.0558,0.039,0.0316,0.0223
Mexico,0.0753,0.1422,0.0398,0.0681,0.0739,0.0476,0.0434,0.027,0.0669,0.1401,0.0531,0.0879,0.0413,0.0356,0.0346,0.0231
Monaco,0.1103,0.1429,0.0426,0.0777,0.1103,0.0401,0.0652,0.0351,0.0451,0.1178,0.025,0.0551,0.0502,0.0301,0.0376,0.015
Mongolia,0.0823,0.0966,0.0478,0.0558,0.0764,0.052,0.0671,0.0342,0.0653,0.1067,0.0587,0.0726,0.0524,0.049,0.0483,0.0347
Montenegro,0.0765,0.1154,0.0735,0.0999,0.0506,0.029,0.0635,0.028,0.0666,0.1272,0.0575,0.1007,0.0369,0.0275,0.0285,0.0189
Morocco,0.0597,0.1177,0.0528,0.0845,0.0419,0.0326,0.0368,0.029,0.0682,0.1516,0.0692,0.1297,0.0314,0.0336,0.0326,0.0287
Mozambique,0.0856,0.1585,0.0336,0.0553,0.0804,0.0525,0.0513,0.028,0.073,0.1164,0.0376,0.0599,0.0662,0.0491,0.0353,0.0171
Myanmar,0.0452,0.1095,0.0224,0.0399,0.0975,0.0737,0.0514,0.0326,0.058,0.1414,0.0315,0.0603,0.0794,0.0753,0.0456,0.036
Namibia,0.0762,0.1326,0.0381,0.0488,0.0804,0.0506,0.0434,0.0288,0.0776,0.137,0.0347,0.0605,0.0787,0.0571,0.033,0.0224
Nepal,0.0667,0.1365,0.0299,0.0507,0.0673,0.059,0.0337,0.0274,0.0705,0.1887,0.0377,0.081,0.0479,0.0585,0.0215,0.0232
Netherlands,0.0687,0.1602,0.0283,0.0566,0.0791,0.0551,0.0388,0.0263,0.0774,0.1603,0.036,0.0631,0.0582,0.0427,0.0281,0.0209
New Zealand,0.078,0.1502,0.0203,0.0373,0.1029,0.0603,0.0332,0.0198,0.0781,0.1502,0.0268,0.046,0.088,0.0597,0.0294,0.0198
Nicaragua,0.0859,0.1287,0.0338,0.047,0.1832,0.0682,0.057,0.0292,0.0527,0.0893,0.0309,0.0536,0.0539,0.0334,0.0305,0.0227
Niger,0.0738,0.0719,0.0402,0.0369,0.1723,0.0532,0.085,0.0289,0.0697,0.0812,0.0407,0.0403,0.0905,0.0501,0.0439,0.0216
Nigeria,0.0738,0.0719,0.0402,0.0369,0.1723,0.0532,0.085,0.0289,0.0697,0.0812,0.0407,0.0403,0.0905,0.0501,0.0439,0.0216
Macedonia,0.0814,0.1052,0.0632,0.0887,0.0595,0.0291,0.0645,0.0319,0.0803,0.1205,0.0613,0.0875,0.0387,0.0293,0.038,0.0209
Norway,0.0652,0.1402,0.0283,0.0574,0.0755,0.0505,0.0373,0.0252,0.0825,0.1556,0.0409,0.0716,0.0629,0.0483,0.0329,0.0255
Oman,0.072,0.1223,0.0378,0.0487,0.1133,0.0611,0.0603,0.0288,0.0647,0.1238,0.0337,0.0598,0.0626,0.0552,0.0322,0.0238
Pakistan,0.0841,0.1291,0.0304,0.0456,0.1101,0.0715,0.05,0.0326,0.0695,0.132,0.0296,0.0485,0.0578,0.0568,0.028,0.0242
Panama,0.0743,0.151,0.0314,0.0559,0.0702,0.0483,0.0389,0.0273,0.0686,0.1541,0.0434,0.078,0.0514,0.0437,0.038,0.0254
Papua New Guinea,0.0846,0.1191,0.0193,0.0301,0.1106,0.0755,0.0392,0.0301,0.0862,0.1197,0.0358,0.0415,0.0891,0.0704,0.0295,0.0193
Paraguay,0.0589,0.1282,0.0419,0.0684,0.0402,0.0395,0.0345,0.0203,0.0717,0.1711,0.0727,0.1046,0.0402,0.041,0.0372,0.0297
Peru,0.0726,0.1484,0.0343,0.0631,0.0734,0.0433,0.0392,0.0234,0.0648,0.1559,0.0502,0.0928,0.0455,0.0371,0.0306,0.0252
Philippines,0.0565,0.1104,0.0195,0.0342,0.1085,0.0751,0.0353,0.0238,0.0772,0.1627,0.0353,0.0597,0.0737,0.0724,0.0307,0.0253
Poland,0.0478,0.1051,0.0396,0.0784,0.0402,0.0274,0.0425,0.0277,0.0756,0.155,0.0764,0.1241,0.0438,0.0344,0.049,0.033
Portugal,0.0649,0.1367,0.024,0.0515,0.0497,0.0349,0.023,0.0184,0.1004,0.206,0.0471,0.0871,0.055,0.0492,0.0283,0.0238
Qatar,0.0745,0.133,0.0341,0.0512,0.0952,0.0603,0.0502,0.0286,0.0676,0.1384,0.0334,0.0558,0.0633,0.059,0.0322,0.0233
South Korea,0.0609,0.126,0.0273,0.0504,0.0835,0.0636,0.0456,0.0294,0.0625,0.1339,0.0375,0.0628,0.0766,0.0661,0.0428,0.0311
Moldova,0.0749,0.1063,0.0642,0.0783,0.0535,0.0296,0.0598,0.0356,0.0707,0.1129,0.0682,0.0936,0.0425,0.0294,0.0475,0.0332
Romania,0.0668,0.1245,0.0529,0.0879,0.0536,0.0316,0.0576,0.0313,0.0705,0.133,0.0612,0.0947,0.0388,0.0305,0.0401,0.0252
Russia,0.0476,0.0926,0.0447,0.0745,0.0457,0.0321,0.057,0.0352,0.0582,0.1345,0.0666,0.1252,0.047,0.0394,0.0576,0.0422
Rwanda,0.0753,0.1002,0.0475,0.046,0.1617,0.0683,0.0796,0.026,0.0666,0.0866,0.0321,0.0401,0.0745,0.0437,0.0353,0.0166
Saint Kitts and Nevis,0.072,0.1136,0.0349,0.0269,0.0855,0.045,0.0338,0.0202,0.099,0.1541,0.054,0.0427,0.0934,0.0517,0.0461,0.0269
Saint Lucia,0.0646,0.0902,0.0295,0.0408,0.0841,0.0542,0.0382,0.0252,0.0889,0.1453,0.0451,0.0802,0.0915,0.0568,0.0434,0.0221
Saint Vincent and the Grenadines,0.0722,0.0999,0.0267,0.0594,0.0682,0.0485,0.0356,0.0178,0.098,0.1671,0.0426,0.0771,0.0663,0.0515,0.0356,0.0336
Saudi Arabia,0.0719,0.1133,0.0455,0.0568,0.0808,0.0519,0.0565,0.0322,0.0712,0.125,0.0511,0.0716,0.0543,0.0522,0.0372,0.0283
Senegal,0.0747,0.1531,0.0231,0.0594,0.0986,0.0546,0.0559,0.0238,0.0741,0.1118,0.0294,0.0776,0.0733,0.042,0.0322,0.0168
Serbia,0.067,0.1176,0.0584,0.0977,0.0511,0.0283,0.058,0.0323,0.066,0.1296,0.0687,0.1053,0.0343,0.0271,0.0353,0.023
Seychelles,0.0712,0.1516,0.0351,0.0633,0.0792,0.0497,0.0599,0.0226,0.0634,0.1357,0.043,0.0589,0.0599,0.0441,0.0339,0.0282
Singapore,0.0452,0.126,0.0126,0.0279,0.0944,0.0868,0.0281,0.0216,0.0654,0.1556,0.0209,0.0394,0.1155,0.1041,0.0321,0.0243
Slovakia,0.0567,0.1125,0.0344,0.0636,0.0563,0.0368,0.041,0.0275,0.0867,0.1632,0.0684,0.0992,0.0494,0.0401,0.039,0.0251
Slovenia,0.0637,0.1304,0.0363,0.066,0.0622,0.041,0.0435,0.0264,0.0862,0.1614,0.053,0.0837,0.0488,0.0394,0.0344,0.0236
Somalia,0.0523,0.0797,0.0385,0.0366,0.1346,0.0693,0.0732,0.03,0.0595,0.0791,0.0406,0.0555,0.0803,0.0653,0.0608,0.0445
South Africa,0.0871,0.1294,0.0363,0.0518,0.1019,0.0464,0.051,0.0232,0.0782,0.1212,0.0372,0.053,0.0831,0.0437,0.0381,0.0185
Spain,0.0815,0.1647,0.0302,0.0603,0.0674,0.0428,0.0301,0.0198,0.0825,0.1673,0.0421,0.0766,0.0503,0.039,0.0269,0.0186
Sri Lanka,0.0888,0.1434,0.0347,0.0483,0.1032,0.0608,0.0532,0.0277,0.0715,0.1338,0.0348,0.0552,0.0518,0.0475,0.0254,0.0199
Sudan,0.0719,0.1106,0.0527,0.0601,0.0691,0.0522,0.058,0.0332,0.0707,0.1103,0.0615,0.081,0.0482,0.0486,0.0399,0.032
Suriname,0.0756,0.1198,0.0307,0.0427,0.0881,0.0422,0.0417,0.0235,0.0858,0.1796,0.0306,0.0657,0.0627,0.0574,0.0331,0.021
Sweden,0.0644,0.1383,0.0305,0.0584,0.0757,0.052,0.0419,0.0284,0.0739,0.1459,0.0447,0.0719,0.0593,0.0501,0.0368,0.0278
Switzerland,0.0755,0.1486,0.037,0.0616,0.08,0.048,0.0501,0.0261,0.0732,0.1442,0.0414,0.0655,0.0568,0.0388,0.0332,0.0198
Syria,0.0709,0.1005,0.0691,0.0909,0.0546,0.0382,0.0609,0.0354,0.0627,0.1042,0.0823,0.098,0.0372,0.0279,0.0365,0.0309
Tajikistan,0.041,0.1399,0.0376,0.058,0.1297,0.0546,0.0751,0.0273,0.0341,0.1161,0.0342,0.041,0.0717,0.0683,0.0376,0.0342
Thailand,0.0688,0.1213,0.0255,0.037,0.1108,0.0722,0.048,0.0267,0.0696,0.1263,0.0335,0.0455,0.0841,0.0645,0.0412,0.0249
Trinidad and Tobago,0.0734,0.1069,0.0311,0.0454,0.0838,0.0438,0.0409,0.0218,0.092,0.1493,0.0484,0.0645,0.0796,0.0536,0.0413,0.024
Tunisia,0.0709,0.1253,0.0445,0.0959,0.0432,0.0312,0.0337,0.0246,0.0698,0.1623,0.0651,0.1251,0.0287,0.034,0.0227,0.0227
Turkey,0.0662,0.1197,0.0519,0.0857,0.0628,0.0424,0.0589,0.0366,0.061,0.1253,0.0558,0.0985,0.0385,0.036,0.0354,0.0253
Uganda,0.0726,0.1063,0.0343,0.0439,0.1402,0.0647,0.0651,0.0298,0.0675,0.0945,0.036,0.0412,0.0859,0.0546,0.042,0.0214
Ukraine,0.0592,0.0977,0.0558,0.0733,0.0718,0.0326,0.0804,0.0353,0.0561,0.0997,0.0627,0.0964,0.052,0.0333,0.0553,0.0382
United Arab Emirates,0.0833,0.1355,0.0379,0.053,0.1099,0.0606,0.0583,0.0292,0.0671,0.1214,0.0319,0.0483,0.0617,0.0508,0.0303,0.0211
United Kingdom,0.0739,0.1437,0.0258,0.0485,0.088,0.0504,0.036,0.0224,0.0798,0.1601,0.0323,0.0591,0.0762,0.0523,0.0303,0.0212
Tanzania,0.0815,0.1182,0.0467,0.0521,0.1065,0.0569,0.0666,0.0301,0.0681,0.1099,0.0357,0.0502,0.0619,0.0487,0.0415,0.0255
United States,0.071,0.1347,0.0257,0.0469,0.0831,0.0479,0.038,0.0232,0.0755,0.1507,0.0326,0.0573,0.0758,0.0515,0.0356,0.0225
Uruguay,0.0659,0.1357,0.0284,0.0529,0.0486,0.0337,0.0301,0.0197,0.0901,0.1895,0.0567,0.0993,0.0476,0.0392,0.0362,0.0262
Uzbekistan,0.0654,0.1017,0.0681,0.079,0.0853,0.0409,0.1054,0.0363,0.049,0.0718,0.0445,0.0627,0.0717,0.029,0.06,0.029
Vanuatu,0.0795,0.1297,0.0126,0.0503,0.0837,0.1046,0.067,0.021,0.0837,0.1213,0.0335,0.0293,0.0627,0.0753,0.0377,0.021
Vietnam,0.0666,0.1193,0.0282,0.0428,0.1024,0.0656,0.0481,0.0291,0.0615,0.1447,0.0297,0.055,0.0732,0.0718,0.0342,0.0279
Yemen,0.0689,0.1188,0.0498,0.069,0.0642,0.0565,0.0594,0.0325,0.0556,0.1101,0.0546,0.0929,0.0479,0.0383,0.0459,0.0354
Zambia,0.0726,0.0983,0.0435,0.0445,0.1253,0.0559,0.063,0.0264,0.08,0.0977,0.0426,0.0533,0.0819,0.0542,0.0406,0.0203
Zimbabwe,0.0837,0.1134,0.0486,0.0526,0.1134,0.0505,0.0584,0.0272,0.0761,0.1111,0.0383,0.0516,0.0741,0.0436,0.0372,0.0204
